e_id;geo_name;loc;geonamesid;time;time_norm;actor
2164;Kingdom of Powys;[u'53.23333333 -4.01666667'];;1160;1160-01-01;Gwenwynwyn ap Owain
2165;Kingdom of Powys;[u'53.23333333 -4.01666667'];;1160;1160-01-01;Iowerth Goch ap Maredudd
2166;Kingdom of Powys;[u'53.23333333 -4.01666667'];;1160;1160-01-01;Madog ap Maredudd
2167;Kingdom of Powys;[u'53.23333333 -4.01666667'];;1160;1160-01-01;Gruffydd Maelor I
2168;Kingdom of Powys;[u'53.23333333 -4.01666667'];;1160;1160-01-01;Owain Fychan
2169;Kingdom of Powys;[u'53.23333333 -4.01666667'];;1160;1160-01-01;Owain Brogyntyn
2170;Kingdom of Powys;[u'53.23333333 -4.01666667'];;1160;1160-01-01;Owain Cyfeiliog
2171;Mawddwy;[u'52.7191 -3.68991'];;1160;1160-01-01;Owain Gwynedd
2172;Caereinion;[u'52.69 -3.29'];;1160;1160-01-01;Owain Gwynedd
2173;Meirionnydd;[u'52.758 -3.835'];;1160;1160-01-01;Owain Gwynedd
2174;Canada;[u'56 -109'];6251999;November 30, 2009;2009-11-30;Bev Oda
2175;Canada;[u'56 -109'];6251999;November 30, 2009;2009-11-30;Stephen Harper
2176;Szombathely;[u'47.233333333333 16.633333333333'];3044310;1916;1916-01-01;Miklós Horthy
2177;Szombathely;[u'47.233333333333 16.633333333333'];3044310;1916;1916-01-01;Charles I of Austria
2178;Jebel Uweinat;[u'21.919444444444 24.922222222222'];80884;1932;1932-01-01;Leo Frobenius
2179;Jebel Uweinat;[u'21.919444444444 24.922222222222'];80884;1932;1932-01-01;Hubert Jones
2180;Jebel Uweinat;[u'21.919444444444 24.922222222222'];80884;1932;1932-01-01;Ludovico di Caporiacco
